Price,Close,High,Low,Open,Volume
Ticker,9983.T,9983.T,9983.T,9983.T,9983.T
Datetime,,,,,
2026-02-13 00:05:00+00:00,67910.0,67940.0,67840.0,67880.0,0
2026-02-13 00:06:00+00:00,67950.0,68100.0,67870.0,67880.0,7400
2026-02-13 00:07:00+00:00,67870.0,67950.0,67840.0,67950.0,3800
2026-02-13 00:08:00+00:00,67820.0,67860.0,67700.0,67860.0,7000
2026-02-13 00:09:00+00:00,67870.0,67890.0,67780.0,67830.0,4200
2026-02-13 00:10:00+00:00,67890.0,68050.0,67870.0,67880.0,8500
2026-02-13 00:11:00+00:00,67910.0,67930.0,67840.0,67910.0,2400
2026-02-13 00:12:00+00:00,67970.0,67980.0,67800.0,67910.0,5500
2026-02-13 00:13:00+00:00,67830.0,68070.0,67830.0,67910.0,9800
2026-02-13 00:14:00+00:00,67870.0,67930.0,67790.0,67830.0,3800
2026-02-13 00:15:00+00:00,67850.0,67900.0,67850.0,67860.0,2900
2026-02-13 00:16:00+00:00,67870.0,67880.0,67830.0,67850.0,2600
2026-02-13 00:17:00+00:00,67960.0,68000.0,67870.0,67870.0,6100
2026-02-13 00:18:00+00:00,67940.0,68000.0,67910.0,67950.0,3100
2026-02-13 00:19:00+00:00,67920.0,67950.0,67900.0,67930.0,2800
2026-02-13 00:20:00+00:00,67950.0,67950.0,67890.0,67910.0,3200
2026-02-13 00:21:00+00:00,67900.0,68070.0,67900.0,67960.0,4100
2026-02-13 00:22:00+00:00,67720.0,67900.0,67710.0,67900.0,8600
2026-02-13 00:23:00+00:00,67760.0,67770.0,67650.0,67710.0,6100
2026-02-13 00:24:00+00:00,67790.0,67820.0,67710.0,67780.0,4300
2026-02-13 00:25:00+00:00,67780.0,67780.0,67750.0,67760.0,1500
2026-02-13 00:26:00+00:00,67860.0,67900.0,67760.0,67760.0,7600
2026-02-13 00:27:00+00:00,67770.0,67890.0,67770.0,67870.0,3800
2026-02-13 00:28:00+00:00,67840.0,67870.0,67730.0,67770.0,3500
2026-02-13 00:29:00+00:00,67800.0,67900.0,67800.0,67850.0,4500
2026-02-13 00:30:00+00:00,67770.0,67830.0,67750.0,67790.0,3300
2026-02-13 00:31:00+00:00,67770.0,67790.0,67740.0,67770.0,3100
2026-02-13 00:32:00+00:00,67770.0,67800.0,67730.0,67780.0,1900
2026-02-13 00:33:00+00:00,67680.0,67780.0,67620.0,67750.0,7000
2026-02-13 00:34:00+00:00,67670.0,67710.0,67640.0,67660.0,3100
2026-02-13 00:35:00+00:00,67710.0,67720.0,67640.0,67660.0,2100
2026-02-13 00:36:00+00:00,67730.0,67780.0,67670.0,67690.0,5400
2026-02-13 00:37:00+00:00,67770.0,67770.0,67710.0,67720.0,2200
2026-02-13 00:38:00+00:00,67850.0,67880.0,67790.0,67790.0,4200
2026-02-13 00:39:00+00:00,67910.0,68000.0,67850.0,67850.0,6500
2026-02-13 00:40:00+00:00,67920.0,67990.0,67880.0,67910.0,3200
2026-02-13 00:41:00+00:00,67950.0,68000.0,67910.0,67920.0,3900
2026-02-13 00:42:00+00:00,67910.0,67930.0,67900.0,67920.0,1400
2026-02-13 00:43:00+00:00,67890.0,67910.0,67890.0,67910.0,500
2026-02-13 00:44:00+00:00,67880.0,67900.0,67820.0,67900.0,3500
